GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
0400000US27,27,Minnesota,2115337,5381,1372311,5062,1080035,6343,743026,3642,5.5,0.1,3.1,0.1,0.9,0.1,11.2,0.2,4.4,0.1,2.1,0.1,0.9,0.1,9.1,0.2,9.1,0.1,5.7,0.1,3.4,0.1,16.2,0.2,9.1,0.1,7.2,0.1,5.4,0.1,13.2,0.2,13.0,0.1,11.3,0.2,9.9,0.2,16.3,0.2,18.9,0.1,19.6,0.2,19.7,0.2,16.9,0.3,14.1,0.1,16.8,0.2,18.9,0.2,8.2,0.2,15.3,0.2,19.8,0.2,23.4,0.2,5.9,0.2,5.5,0.1,7.4,0.1,9.0,0.2,1.5,0.1,5.0,0.1,6.9,0.1,8.4,0.1,1.3,0.1,60828,240,76190,333,87135,314,35157,306,79106,291,94560,453,106978,497,47418,379,24.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),23.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.0,(X)
0500000US27001,27001,"Aitkin County, Minnesota",7637,334,4953,297,4115,261,2684,177,7.3,1.0,3.7,1.1,1.7,0.4,16.6,2.5,7.0,0.9,2.9,0.7,1.8,0.5,14.7,2.2,13.5,1.2,10.0,1.3,8.4,1.3,20.1,2.1,14.0,1.2,13.6,1.5,11.6,1.4,14.5,2.0,16.9,1.4,16.6,1.6,17.3,1.7,16.7,2.4,20.4,1.4,25.3,1.7,27.2,2.0,11.3,1.8,10.5,1.1,13.5,1.5,15.4,1.6,4.4,1.2,7.4,1.0,10.5,1.4,12.1,1.6,1.1,0.4,1.6,0.4,2.1,0.5,2.4,0.6,0.0,0.1,1.3,0.3,1.8,0.5,2.1,0.6,0.5,0.3,42036,1407,52548,1458,56550,1537,23989,2186,54050,2645,64181,3806,N,N,32912,2702,26.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.8,(X)
0500000US27003,27003,"Anoka County, Minnesota",123446,574,88350,934,69850,1082,35096,959,3.2,0.3,2.0,0.2,0.8,0.2,7.4,0.8,3.0,0.3,1.5,0.3,0.5,0.2,6.7,0.8,7.0,0.4,4.3,0.4,2.2,0.4,15.2,1.0,7.3,0.4,6.0,0.4,4.1,0.4,11.7,0.9,12.6,0.6,10.5,0.6,8.8,0.7,18.4,1.1,20.3,0.7,19.7,0.9,18.9,0.9,20.9,1.2,15.7,0.6,17.7,0.7,19.3,0.8,10.0,0.8,19.9,0.6,24.2,0.7,28.5,0.8,7.3,0.9,7.1,0.4,9.2,0.6,11.0,0.7,1.1,0.3,3.9,0.3,4.9,0.4,5.9,0.6,1.3,0.4,70464,1055,82707,1399,94025,1239,42139,994,84196,1247,95323,1494,105964,1811,51731,1672,24.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),24.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.6,(X)
0500000US27005,27005,"Becker County, Minnesota",13534,228,9166,237,7296,216,4368,218,6.3,0.9,3.7,0.9,1.1,0.3,13.6,2.6,6.2,1.0,3.2,0.9,1.4,0.5,13.0,2.4,11.5,1.4,7.8,1.2,5.1,1.0,20.8,3.0,11.6,1.1,9.4,1.1,8.0,1.2,15.8,2.2,12.9,1.1,13.5,1.4,13.0,1.5,11.8,1.9,21.7,1.4,24.5,1.6,25.9,1.7,15.0,2.1,13.3,1.0,16.4,1.2,19.2,1.6,5.2,1.4,11.2,1.0,14.8,1.3,18.0,1.6,3.3,1.4,3.0,0.5,3.7,0.6,4.5,0.8,0.8,0.5,2.4,0.4,3.1,0.6,3.8,0.8,0.9,0.5,51470,1773,61654,1692,71068,1757,26575,1777,62672,1635,73118,2049,82392,2304,37414,2064,28.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),27.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.1,(X)
0500000US27007,27007,"Beltrami County, Minnesota",16793,315,11118,325,7754,294,5675,353,7.7,1.2,5.5,1.4,1.5,0.7,14.1,2.5,8.1,1.3,3.7,1.0,2.1,0.8,17.6,3.5,12.6,1.4,10.0,1.5,6.4,1.6,19.1,3.1,12.6,1.4,11.0,1.6,8.2,1.7,14.3,3.0,13.9,1.6,15.0,1.8,13.1,1.9,12.0,2.7,19.4,1.5,21.8,1.9,24.8,2.3,13.4,2.3,12.0,1.1,15.3,1.7,20.1,2.2,4.1,1.1,9.3,1.0,12.0,1.4,16.2,1.9,3.4,1.1,2.3,0.5,2.8,0.7,3.8,1.0,1.4,0.8,2.2,0.5,2.9,0.7,3.9,1.0,0.7,0.4,43990,1484,55369,3086,67327,2415,24529,2160,57559,1618,67151,2485,80392,3068,36099,2424,25.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),25.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.8,(X)
0500000US27009,27009,"Benton County, Minnesota",15466,231,10158,308,7551,315,5308,329,7.3,1.6,6.0,1.7,2.2,1.4,13.5,2.9,4.6,1.0,1.6,0.5,0.4,0.3,10.8,2.7,11.5,1.8,6.7,1.6,3.4,1.2,21.7,4.3,9.4,1.4,7.9,1.6,5.7,1.3,12.8,2.8,14.9,1.6,13.6,2.1,12.4,2.1,17.0,2.5,20.4,1.8,22.2,2.3,23.6,2.6,15.5,2.9,14.3,1.4,19.1,1.9,23.1,2.3,4.6,1.5,12.9,1.4,17.1,2.1,21.8,2.7,2.8,1.4,3.3,0.8,4.0,0.9,5.1,1.2,1.3,1.0,1.4,0.4,1.8,0.5,2.3,0.7,0.1,0.2,53006,2586,64487,3892,77149,2378,26820,2197,61619,1671,72063,2263,N,N,36190,2346,29.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),27.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.7,(X)
0500000US27011,27011,"Big Stone County, Minnesota",2316,72,1547,85,1320,79,769,83,5.6,1.6,3.1,1.2,1.9,1.0,10.9,4.7,7.0,2.0,4.5,2.3,1.9,0.9,12.0,3.8,13.5,2.6,9.2,2.3,6.7,1.9,26.5,6.2,9.6,2.2,7.1,1.9,6.3,1.9,14.0,4.7,17.2,3.0,15.6,3.6,14.8,3.6,19.5,5.0,21.4,2.7,24.5,3.0,26.6,3.3,12.0,3.5,10.4,1.8,14.2,2.7,16.6,3.2,3.1,2.2,10.0,1.6,14.3,2.4,16.4,2.7,0.9,0.6,2.7,1.2,3.9,1.8,4.5,2.1,0.0,2.2,2.7,0.8,3.6,1.2,4.2,1.4,1.0,1.2,47537,3180,60478,4197,68600,4510,25313,2682,61409,2970,73386,3461,N,N,35013,5699,32.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.6,(X)
0500000US27013,27013,"Blue Earth County, Minnesota",24719,282,14467,308,11957,320,10252,371,7.1,0.9,3.5,1.0,0.9,0.5,13.6,2.2,5.8,0.9,2.9,0.8,0.8,0.4,10.8,1.9,11.4,1.1,6.2,1.0,3.3,0.7,19.4,2.2,10.5,1.1,7.6,1.0,6.4,1.1,14.3,2.2,14.5,1.3,11.2,1.4,10.7,1.5,18.8,2.3,18.8,1.2,21.4,1.6,23.5,1.8,13.8,2.0,13.8,1.0,19.8,1.6,22.5,1.7,4.9,1.2,11.6,0.9,17.5,1.5,20.1,1.6,3.1,0.9,3.8,0.6,6.0,1.0,7.0,1.2,0.5,0.3,2.7,0.4,4.1,0.7,4.9,0.8,0.7,0.3,50977,1849,71746,1980,79062,1541,28426,1849,66315,1966,83655,2627,93459,2594,39825,2983,27.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),24.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.0,(X)
0500000US27015,27015,"Brown County, Minnesota",10749,197,6780,212,5522,224,3969,232,4.6,1.0,3.0,1.1,0.9,0.5,8.8,2.2,6.2,1.1,3.3,1.3,1.5,0.7,12.6,2.5,11.9,1.2,5.7,1.2,4.4,1.3,22.5,2.7,10.7,1.4,8.0,1.6,6.9,1.4,14.8,2.8,17.1,1.7,16.2,2.2,13.7,2.0,18.3,2.5,19.2,1.5,22.1,2.2,23.5,2.4,14.7,2.6,14.8,1.7,19.7,2.4,22.6,2.6,5.1,1.9,9.8,1.1,14.2,1.5,16.8,1.9,1.7,0.8,2.6,0.7,3.7,1.1,4.5,1.4,0.4,0.4,3.1,0.7,4.2,1.1,5.2,1.3,1.1,0.7,49527,2149,65790,2924,73948,3397,29370,2797,64951,2706,77541,3292,86245,3531,41172,4825,27.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.9,(X)
0500000US27017,27017,"Carlton County, Minnesota",13542,241,9062,272,7124,253,4480,233,7.6,1.1,4.3,1.0,1.5,0.6,15.9,2.9,4.7,0.7,2.1,0.7,1.1,0.5,10.1,2.0,10.9,1.2,5.5,1.1,4.9,1.1,22.4,2.7,8.7,1.0,8.1,1.3,5.8,1.3,11.4,2.2,14.3,1.7,13.8,1.9,12.3,2.0,15.4,2.6,22.0,1.6,25.4,1.9,26.1,2.2,15.0,2.5,15.3,1.5,18.6,1.9,21.0,2.3,5.8,1.6,12.2,1.0,16.2,1.5,19.8,1.8,3.1,1.0,3.1,0.7,4.3,1.1,5.4,1.4,0.5,0.5,1.3,0.6,1.7,0.9,2.1,1.1,0.3,0.2,53429,2068,65557,2048,72826,2760,26259,2799,61947,1781,73301,2573,81270,3000,35674,2037,36.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),36.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),35.8,(X)
0500000US27019,27019,"Carver County, Minnesota",33813,345,25578,476,22043,460,8235,404,2.7,0.5,1.3,0.4,0.6,0.3,7.7,1.6,1.9,0.6,0.7,0.3,0.4,0.3,5.9,2.0,5.2,0.7,2.2,0.5,1.3,0.4,15.3,2.2,7.1,0.9,5.0,1.0,3.0,0.7,14.2,2.6,9.1,1.1,7.4,1.0,6.3,1.0,15.1,2.7,16.3,1.1,15.3,1.2,14.4,1.2,20.0,2.5,15.9,1.0,17.6,1.2,18.0,1.2,10.0,1.6,21.3,1.2,25.1,1.4,27.3,1.6,8.6,2.1,10.2,0.9,12.9,1.2,14.5,1.4,1.9,0.8,10.2,0.8,12.6,1.0,14.5,1.1,1.3,0.7,86391,2036,100921,2308,109840,2498,41090,2224,107401,2389,123737,2943,133205,2921,52106,2619,22.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),22.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.0,(X)
0500000US27021,27021,"Cass County, Minnesota",12876,608,8902,437,6952,283,3974,234,7.0,0.7,6.4,1.1,1.7,0.4,13.0,1.5,6.0,0.8,3.6,0.8,1.8,0.6,12.9,1.9,12.4,0.9,8.4,1.0,5.6,0.8,22.5,2.2,13.2,0.9,12.1,1.2,10.8,1.1,15.1,1.4,15.9,1.1,15.9,1.1,16.3,1.2,13.2,1.6,19.9,1.0,21.9,1.4,25.4,1.7,13.6,1.7,12.4,1.0,15.2,1.4,18.2,1.7,5.1,1.0,8.7,0.8,11.1,1.0,13.5,1.1,2.6,0.6,2.5,0.5,3.2,0.6,3.8,0.8,1.0,0.7,2.0,0.3,2.3,0.4,3.0,0.5,0.9,0.5,45567,1044,53818,1718,62441,1208,26010,1287,58336,1256,65803,1711,75571,1840,37411,1852,29.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.4,(X)
0500000US27023,27023,"Chippewa County, Minnesota",5050,173,3320,154,2677,160,1730,160,5.0,1.4,3.1,1.8,1.3,0.8,11.2,3.7,6.0,1.8,2.9,2.0,0.9,0.5,11.8,3.8,10.9,2.4,7.6,2.4,5.2,2.5,19.1,4.1,10.3,1.9,8.1,1.6,6.2,1.7,15.8,5.2,15.9,2.5,12.0,2.6,13.0,2.9,20.0,4.8,21.1,2.1,23.2,2.7,24.7,3.2,15.8,4.2,15.9,2.4,21.8,3.3,25.0,3.5,4.3,2.2,10.3,1.6,15.2,2.5,16.7,2.9,1.2,0.7,2.8,0.8,3.8,1.2,4.1,1.1,0.5,0.5,1.7,0.7,2.4,1.0,3.0,1.3,0.3,0.2,51523,2434,65441,4669,73769,3892,30579,3742,62204,2706,74988,3556,N,N,35437,2482,31.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),34.1,(X)
0500000US27025,27025,"Chisago County, Minnesota",19757,264,14218,318,11825,334,5539,355,3.3,0.7,1.6,0.5,0.5,0.3,9.3,2.3,4.0,0.8,1.5,0.6,0.8,0.4,10.9,2.5,7.0,1.2,3.1,0.7,1.7,0.5,18.5,3.8,7.8,1.2,6.3,1.2,4.6,1.1,13.5,3.2,11.6,1.4,11.2,1.5,9.3,1.5,13.3,2.5,20.9,1.5,21.9,1.9,22.5,2.4,16.9,2.7,17.7,1.4,20.1,1.6,21.4,1.7,9.2,2.1,19.3,1.4,24.0,1.7,27.5,2.2,5.8,2.1,5.5,0.8,6.7,1.1,7.5,1.2,2.5,1.3,2.8,0.7,3.6,1.0,4.3,1.2,0.1,0.1,70223,1638,80166,2317,86091,3347,33392,2959,78527,2181,89683,2755,96839,3264,44938,3090,24.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),22.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.5,(X)
0500000US27027,27027,"Clay County, Minnesota",22545,337,14610,366,11501,400,7935,389,6.5,1.2,3.7,1.0,0.7,0.4,13.5,3.0,5.2,0.9,1.8,0.8,0.9,0.7,12.2,2.1,11.2,1.3,7.0,1.3,4.9,1.4,19.7,3.0,10.8,1.4,7.1,1.3,4.8,1.1,18.2,3.0,12.8,1.4,11.2,1.4,8.5,1.2,15.4,2.8,19.1,1.6,21.7,2.0,22.9,2.4,12.7,2.1,15.1,1.5,19.8,2.0,23.9,2.4,5.5,1.7,13.9,1.5,20.3,2.2,24.3,2.6,1.9,0.7,3.2,0.6,4.0,0.7,4.9,1.0,0.7,0.5,2.3,0.5,3.5,0.8,4.3,1.0,0.1,0.1,55582,2221,71777,2997,82266,2269,26954,1613,65794,1615,80646,2464,91284,2675,34573,1897,24.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),22.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.7,(X)
0500000US27029,27029,"Clearwater County, Minnesota",3539,79,2450,76,1981,76,1089,86,8.4,1.3,5.6,1.3,2.1,0.8,16.5,2.9,6.8,1.1,3.3,1.2,1.9,0.9,15.8,2.8,12.9,1.3,9.1,1.3,8.3,1.5,20.3,3.0,11.3,1.3,10.9,1.7,9.0,1.5,12.9,2.7,15.2,1.7,15.4,1.8,16.7,2.0,13.7,3.5,21.3,1.8,24.9,2.3,26.8,2.7,12.9,3.3,11.3,1.6,14.4,1.9,16.9,2.2,4.5,1.9,9.7,1.2,12.7,1.6,13.9,1.8,2.0,1.2,1.5,0.4,2.1,0.5,2.6,0.6,0.0,1.6,1.5,0.6,1.6,0.7,1.9,0.7,1.3,1.1,45105,2162,53929,1594,60023,2792,22625,3536,55690,2776,63481,3159,N,N,36247,5311,30.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.9,(X)
0500000US27031,27031,"Cook County, Minnesota",2627,290,1666,177,1393,128,961,180,6.2,3.4,2.0,2.9,0.0,1.2,13.6,5.2,7.8,2.6,1.3,1.1,0.9,1.0,19.0,6.7,11.0,2.7,8.4,3.0,8.9,3.3,16.5,5.4,8.9,2.4,9.2,2.5,6.7,2.3,9.5,6.3,13.7,2.8,13.6,3.6,11.1,3.6,17.1,5.5,21.0,3.2,25.6,4.9,28.2,5.5,11.7,3.9,11.1,2.1,11.8,2.6,13.5,2.9,7.2,3.2,13.3,3.3,18.9,4.8,21.0,5.1,2.1,2.0,3.7,1.8,4.9,2.5,5.1,3.0,1.5,1.3,3.3,1.7,4.1,2.5,4.6,2.9,1.9,1.9,51913,3102,63438,6529,68227,4433,25368,2676,68183,6071,81966,8607,N,N,39892,5493,32.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.9,(X)
0500000US27033,27033,"Cottonwood County, Minnesota",4855,134,3256,146,2676,121,1599,129,5.8,1.8,3.2,1.4,1.1,1.1,14.4,4.1,7.9,2.0,4.0,2.1,2.8,1.9,15.7,4.5,12.4,2.7,10.1,2.7,9.0,3.1,17.3,4.4,12.8,1.9,12.5,2.9,7.5,1.6,17.8,3.6,13.7,1.9,13.5,2.4,12.6,2.3,13.6,3.2,23.0,2.9,26.4,3.6,31.1,3.7,9.6,2.5,11.2,1.9,13.5,2.1,15.8,2.6,6.6,3.7,8.8,1.5,11.1,1.9,13.3,2.3,3.1,1.6,1.7,0.6,2.4,0.9,2.9,1.1,0.3,0.4,2.7,0.9,3.3,0.9,3.8,1.1,1.6,2.0,47350,4156,55330,3065,62599,2963,26461,3637,58946,2962,68420,3426,N,N,36672,5335,31.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.0,(X)
0500000US27035,27035,"Crow Wing County, Minnesota",26654,387,17750,373,14070,340,8904,384,6.2,0.8,3.5,0.9,1.3,0.5,13.4,1.8,5.8,0.8,2.9,0.8,1.1,0.3,12.3,1.7,12.4,1.0,7.4,1.0,5.3,0.9,21.7,2.2,11.0,1.0,9.5,1.1,8.1,1.1,14.6,2.1,15.3,0.9,15.9,1.1,15.6,1.2,14.4,2.1,21.8,1.2,24.9,1.8,26.7,2.0,14.2,1.8,12.2,1.0,15.8,1.3,18.2,1.5,4.6,1.0,10.4,0.9,13.9,1.3,16.2,1.5,2.8,0.9,2.4,0.4,3.0,0.5,3.7,0.6,0.9,0.9,2.5,0.5,3.1,0.6,3.9,0.8,1.1,0.4,49186,1477,60558,1534,67126,2012,26353,1346,63155,2017,74096,2835,82777,3507,39024,2464,25.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),24.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.8,(X)
